Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
arachidonic acid CTD 00007139,arachidonic acid CTD 00007139,0.007183517025272,0.001560124857689,41.18825387806559,5/168,EGR1;SPARC;HMOX1;PTGS2;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
ethanol 702 human GSE44456 sample 3038,ethanol 702 human GSE44456 sample 3038,0.012354266354658,0.0032468505531295,41.15060728056046,4/300,BAG3;HBB;TIMP1;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
1-Naphthyl isothiocyanate 11080 rat GSE5509 sample 3568,1,0.0124400551081998,0.0032857438590646,40.924744891717154,4/301,STEAP4;GPNMB;HBB;HSPD1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
puromycin PC3 UP,puromycin PC3 UP,0.0008949805250039957,9.869878686959952e-05,40.79257882696668,11/552,SOCS2;BAG3;CCL20;ARID5B;TNFAIP3;INHBA;NEAT1;PTGS2;GEM;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
SODIUM ARSENITE 443495 mouse GSE11056 sample 3355,SODIUM ARSENITE 443495 mouse GSE11056 sample 3355,0.01252619156547,0.003324954922766,40.70072476860274,4/302,EGR1;SPP1;TIMP1;MMP9,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
EINECS 250-892-2 CTD 00001193,EINECS 250,0.0045857920183074,0.0008957294689964973,40.63127080710953,6/223,AKAP12;EGR1;IL1R1;PTGS2;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
Bortezomib CTD 00003736,Bortezomib CTD 00003736,0.00041705551865660887,2.981752072638372e-05,40.5643982292043,15/878,EGR1;IL1RN;GALNT4;IL1R1;CXCR4;FRMD4B;NEAT1;PTGS2;MMP9;BAG3;SPP1;HMOX1;XAF1;HSPA1B;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
"3,4-Dihydro-2-phenyl-2H-1-benzopyran-3,4-diol BOSS","3,4",0.0217252788869731,0.0070353356395665,40.523198294001766,3/78,TAOK1;HMOX1;MMP9,Fallback_DSigDB,Combined signature vs DSigDB
staurosporine CTD 00007273,staurosporine CTD 00007273,0.0074199713870293,0.0016434889894635,40.35718654305761,5/170,BAG3;HMOX1;PTGS2;MMP9;BIRC3,Fallback_DSigDB,Combined signature vs DSigDB
naphthalene CTD 00001527,naphthalene CTD 00001527,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,SCGB1A1;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
124020-07-1 CTD 00007038,124020,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,HMOX1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
Enalapril maleate BOSS,Enalapril maleate BOSS,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,FN1;HSPD1,Fallback_DSigDB,Combined signature vs DSigDB
busulfan CTD 00005543,busulfan CTD 00005543,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,INHBA;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
monorden HL60 UP,monorden HL60 UP,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,BAG3;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
orciprenaline HL60 UP,orciprenaline HL60 UP,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,CCL20;TIMP1,Fallback_DSigDB,Combined signature vs DSigDB
ritonavir BOSS,ritonavir BOSS,0.0450484573185573,0.0187140554000922,40.31256172341721,2/42,CD8A;HBB,Fallback_DSigDB,Combined signature vs DSigDB
doxorubicin DB00997 human GSE24460 sample 2533,doxorubicin DB00997 human GSE24460 sample 2533,0.0126995061512415,0.0034043354203065,40.25812905679997,4/304,RGS2;PLTP;GEM;TM4SF1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
decitabine DB01262 human GSE29077 sample 2547,decitabine DB01262 human GSE29077 sample 2547,0.0126995061512415,0.0034043354203065,40.25812905679997,4/304,EGR1;RGS2;SPP1;TIMP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
ethanol 702 rat GSE55243 sample 3107,ethanol 702 rat GSE55243 sample 3107,0.021460639741362,0.0017366991698212,40.01780479109137,5/294,ERRFI1;COL3A1;SPARC;HMOX1;HIVEP2,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
5109870 MCF7 UP,5109870 MCF7 UP,0.007549891933877,0.0016863777310248,39.9508535939048,5/171,EGR1;EPAS1;HMOX1;CXCR4;NEAT1,Fallback_DSigDB,Combined signature vs DSigDB
15-delta prostaglandin J2 MCF7 UP,15,0.0122970563116811,0.0032926230217725,39.92772308974842,4/122,EGR1;HMOX1;GEM;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
